Course,Course TItle,Course URL,Course Description
COSC 1010,Introduction to Computer Programming,,
COSC 1020,Object-Oriented Software Design,,
MATH 1450,Calculus 1,,
MATH 1451,Calculus 2,,
ENGL 1001,Rhetoric and Composition 1,,
ENGL 1002,Rhetoric and Composition 2,,
COSC 2100,Data Structures and Algorithms 1,,
MATH 2350,Foundations of Mathematics,,
MATH 2450,Calculus 3,,
MATH 3100,Linear Algebra and Matrix Theory,,
MATH 3XXX,Data Science and Data Visualization,,
MATH 4720,Statistical Methods,,
COSC 4800:,Principles of Database Systems,,
COSC 4610,Data Mining,,
MATH 4700,Theory of Probability,,
COSC 4800,Principles of Design,,
MATH 4780,Regression Analysis,,
COSC 4920,Principles of Design,,
COSC 4600,Fundamentals of Artificial Intelligence,,
COSC 4931,Topics in Computer Science: Topic in Data Science,,
MATH 4630,Mathematical Modeling and Analysis,,
MATH 4710,Mathematical Statistics,,
MATH 4760,Time Series Analysis,,
MATH 4931,Topics in Mathematics: Topic in Data Science,,
