Course,Course TItle,Course URL,Course Description
1.00,Engineering Computation and Data Science,,
2.086,Numerical Computation for Mechanical Engineers,,
6.008,Introduction to Inference,,
6.036,Introduction to Machine Learning,,
6.802[J],Foundations of Computational and Systems Biology,,
6.819,Advances in Computer Vision,,
14.36, Advanced Econometrics,,
15.053,Optimization Methods in Business Analytics,,
16.90,Computational Modeling and Data Analysis in Aerospace Engineering,,
18.065,"Matrix Methods in Data Analysis, Signal Processing and Machine Learning",,
18.642,Topics in Mathematics with Applications in Finance,,
IDS.012[J],Statistics\, Computation and Applications,,
