Course,Course TItle,Course URL,Course Description
CSC 505,Algorithms,,
CSC 520,Artificial Intelligence I,,
CSC 522,Automated Learning and Data Analysis,,
CSC 720,Artificial Intelligence II,,
CSC 722,Advanced Topics in Machine Learning,,
CSC 591/791,Graph Data Mining,,
CSC 591/791,Spatial and Temporal Data Mining,,
CSC 591/791,Machine Learning for User Adaption,,
CSC 591/791,Advanced Algorithms,,
CSC 591/791,Algorithms for Data Guided Business Intelligence,,
CSC 540,Database Management Concepts and Systems,,
CSC 541,Advanced Data Structures,,
CSC 547,Cloud Computing Technology,,
CSC 548,Parallel Systems,,
CSC 591,Data Intensive Computing,,
CSC 740,Database Management Systems,,
CSC 724,Advanced Distributed Systems,,
CSC 750,Service-Oriented Computing,,
CSC 530,Computational Methods for Molecular Biology,,
CSC 554,Human Computer Interaction,,
CSC 555,Social Computing,,
CSC 561,Graphics,,
CSC 591,Spoken Dialogue Systems,,
CSC 591/495,Intelligent Game Learning,,
CSC 591/495,Educational Data Mining,,
