Course,Course TItle,Course URL,Course Description,(Competency)
MSDS 400-DL,Math for Data Scientists,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4761,,
MSDS 401-DL,Statistical Analysis,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4764,,
MSDS 402-DL,Introduction to Data Science,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4765,,
MSDS 410-DL,Regression Analysis,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4766,,
MSDS 411-DL,Generalized Linear Models,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4767,,
MSDS 413-DL,Time Series Analysis and Forecasting,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4768,,
MSDS 420-DL,Database Systems and Data Preparation,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4769,,
MSDS 422-DL,Practical Machine Learning,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4770,,
MSDS 430-DL,Python for Data Science,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4771,,
MSDS 432-DL,Foundations of Data Engineering,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4772,,
MSDS 450-DL,Marketing Analytics,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4775,,
MSDS 451-DL,Financial and Risk Analytics,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4776,,
MSDS 452-DL,Web and Network Data Science,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4777,,
MSDS 453-DL,Text Analytics,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4778,,
MSDS 454-DL,Advanced Modeling Techniques,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4779,,
MSDS 455-DL,Data Visualization,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4780,,
MSDS 456-DL,Sports Performance Analytics,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4781,,
MSDS 457-DL,Sports Management Analytics,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4782,,
MSDS 458-DL,Artificial Intelligence and Deep Learning,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4783,,
MSDS 460-DL,Decision Analytics,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4785,,
MSDS 470-DL,Analytics Entrepreneurship,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4786,,
MSDS 472-DL,Analytics Consulting,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4787,,
MSDS 474-DL,Accounting and Finance for Analytics Managers,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4788,,
MSDS 475-DL,Project Management,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4789,,
MSDS 480-DL,Business Leadership and Communications,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4790,,
MSDS 498-DL,Capstone Project,https://sps.northwestern.edu/masters/data-science/program-courses.php?course_id=4792,,
