Course,Course TItle,Course URL,Course Description
DS-GA 1001,Introduction to Data Science,,"Introduces students to the fundamental principles of data science that underlie the algorithms, processes, methods, and data-analytic thinking. Introduces students to algorithms and tools based on these principles. Introduces frameworks to support problem-focused data-analytic thinking."
DS-GA 1002,Probablity and Statistics for Data Science,https://cims.nyu.edu/~cfgranda/pages/DSGA1002_fall17/index.html,This course introduces fundamental concepts in probability and statistics from a data-science perspective. The aim is to become familiarized with probabilistic models and statistical methods that are widely used in data analysis.
DS-GA 1003,Machine Learning,https://davidrosenberg.github.io/ml2016/#home,"The course covers a wide variety of topics in machine learning, pattern recognition, statistical modeling, and neural computation. It covers the mathematical methods and theoretical aspects, but primarily focuses on algorithmic and practical issues."
DS-GA 1004,Big Data,,"Big Data requires the storage, organization, and processing of data at a scale and efficiency that go well beyond the capabilities of conventional information technologies. In this course, we will study the state of the art in big data management: we will learn about algorithms, techniques and tools needed to support big data processing. In addition, we will examine real applications that require massive data analysis and how they can be implemented on Big Data platforms. The course will consist of lectures based both on textbook material and scientific papers. It will also include programming assignments that will provide students with hands-on experience on building data-intensive applications using existing Big Data platforms, including Amazon AWS. Besides lectures given by the instructor, we will also have guest lectures by experts in some of the topics we will cover."
DS-GA 1005,Inference and Representation,,"This course covers graphical models, causal inference, and advanced topics in statistical machine learning."
DS-GA 1006,Capstone Project and Presentation,,
DS-GA 1008,Deep Learning,,"This course concerns the latest techniques in deep learning and representation learning, focusing on supervised and unsupervised deep learning, embedding methods, metric learning, convolutional net and recurrent nets, with applications to computer vision, natural language understanding, and speech recognition. The pre-requisites include: DS-GA 1001 Intro to Data Science or a graduate-level machine learning course. Class Notes: Restricted to DS-GA students. Non-DS students should contact the department about registering for this course. Pre-requisite includes DS-GA 1001 Introduction to Data Science or a graduate-level machine learning course. Enrollment Requirements: Restr for DS-GA Blank."
DS-GA 1011,Natural Language Process with Representation Learning,,"How should human languages be understood and analyzed? This course examines modern computational approaches based on representation learning for understanding, processing and using human language. These include neural network-based deep learning methods and vector-space models of word meaning, and together will give the tools to build state-of-the-art models for hard language understanding tasks like translation. "
DS-GA 1012,Natural Language Understanding and Computational Semantics,,"Since at least the proposal of the Turing test, building computational systems that can communicate with humans using natural language has been a central goal for Al research. Understanding real, naturally occurring human language is the key to reaching this goal. This course surveys recent successes in languageunderstanding and prepares students to do original research in this area, culminating with a substantial final project.The course will focus on text, but within that will touch on the full range of applicable techniques for language understanding, including formal logics, statistical methods, distributional methods, and deep learning, and will bring inideas from formal linguistics where they can be readily used in practice. We'll discuss tasks like sentiment analysis, word similarity, and question answering, as well as higher level issues like how to effectively represent language meaning. "
DS-GA 1013,Optimization-based Data Analysis,,"This course provides a unifying description of optimization-based methods designed to tackle data-analysis problems, including spare regression, compressed sensing, super-resolution, matrix completion, clustering and manifold learning. The course will analyze large techniques from a mathematical and algorithmic point of view and describe their application to a wide range of practical problems."
DS-GA 1014,Optimization and Computational Linear Algebra,,
CS-GY 6313,Information Visualization,http://archive.engineering.nyu.edu/files/CS-GY-6313-INET.pdf,"An introductory course on Information Visualization based on a modern and cohesive view of the area. Topics include visualization design, data principles, visual encoding principles, interaction principles, single/multiple view methods, item/attribute, attribute reduction methods, toolkits, and evaluation. Overviews and examples from state-of-the-art research will be provided. The course is designed as a first course in information visualization for students both intending to specialize in visualization as well as students who are interested in understanding and applying visualization princ."
CS-GY 6323,Large-Scale Visual Analytics,,
CS-GY 6083,Principles of Database Systems,http://archive.engineering.nyu.edu/files/CS-GY-6083.pdf,"This course broadly introduces database systems, including the relational data model, query languages, database design, index and file structures, query processing and optimization, concurrency and recovery, transaction management and database design. Students acquire hands-on experience in working with database systems and in building web-accessible database applications."
CSCI-GA 2433,Database Systems,https://cs.nyu.edu/courses/fall17/CSCI-GA.2433-001/2433.pdf,Database system architecture. Modeling an application and logical database design. The relational model and relational data definition and data manipulation languages. Design of relational databases and normalization theory. Physical database design. Concurrency and recovery. Query processing and optimization.
CS-GY 6093,Advanced Database Systems,,"Students in this advanced course on database systems and data management are assumed to have a solid background in databases. The course typically covers a selection from the following topics: (1) advanced relational query processing and optimization, (2) OLAP and data warehousing, (3) data mining, (4) stream databases and other emerging database architectures and applications, (5) advanced transaction processing, (6) databases and the Web: text, search and semistructured data, or (7) geographic information systems. Topics are taught based on a reading list of selected research papers. Students work on a course project and may have to present in class."
CSCI-GA 2434,Advanced Database Systems,https://cs.nyu.edu/courses/fall15/CSCI-GA.2434-001/,"This is a capstone course emphasizing large-scale database systems. This course studies the internals of database systems as an introduction to research and as a basis for rational performance tuning. Topics include concurrency control, fault tolerance, operating system interactions, query processing, and principles of tuning. Database capstone projects involve topics such as design, concurrency control, interactions, and tuning. These projects include some or all of the following elements: formation of a small team, project proposal, literature review, interim report, project presentation, and final report"
DS-GA 3001.010,Mathematics of Data Science: Graphs and Networks,https://cims.nyu.edu/~bandeira/2018_DS.GA.3001_Syllabus.pdf,
CSCI-GA 2495,Convex and Nonsmooth Optimization,,
DS-GA 3001,Text as Data,,
CSCI-GA 2590,Natural Language Processing,https://cs.nyu.edu/courses/spring12/CSCI-GA.2590-001/,Survey of the techniques used for processing natural language. Syntactic analysis: major syntactic structures of English; alternative formalisms for natural language grammar; parsing algorithms; analyzing coordinate conjunction; parsing with graded acceptability. Semantic analysis: meaning representations; analysis of quantificational structure; semantic constraints; anaphora resolution; analysis of sentence fragments. Analysis of discourse and dialog. Text generation. Students get some experience using a natural language parser and a natural language query interface. Brief weekly written assignments and a term project involving a mixture of library research and programming
