Course,Course TItle,Course URL,Course Description
CS 18000,Problem Solving and Object-Oriented Programming,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?subject=CS&term=CURRENT&cnbr=18000,
CS 18200,Foundations of Computer Science,https://esa-oas-prod-wl.itap.purdue.edu/prod/bzwsrch.p_catalog_detail?subject=CS&term=CURRENT&cnbr=18200,
CS 38003,Python Programming,https://esa-oas-prod-wl.itap.purdue.edu/prod/bzwsrch.p_catalog_detail?subject=CS&term=CURRENT&cnbr=38003,
CS 24200,Introduction to Data Science,https://esa-oas-prod-wl.itap.purdue.edu/prod/bzwsrch.p_catalog_detail?subject=CS&term=CURRENT&cnbr=24200,
STAT 35500,Statistics for Data Science,https://esa-oas-prod-wl.itap.purdue.edu/prod/bzwsrch.p_catalog_detail?subject=STAT&term=CURRENT&cnbr=35500,
CS 25100,Data Structures & Algorithms,https://esa-oas-prod-wl.itap.purdue.edu/prod/bzwsrch.p_catalog_detail?subject=CS&term=CURRENT&cnbr=25100,
STAT 41600,Probability,https://esa-oas-prod-wl.itap.purdue.edu/prod/bzwsrch.p_catalog_detail?subject=STAT&term=CURRENT&cnbr=41600,
CS 37300,Data Mining and Machine Learning,https://esa-oas-prod-wl.itap.purdue.edu/prod/bzwsrch.p_catalog_detail?subject=CS&term=CURRENT&cnbr=37300,
STAT 41700,Statistical Theory,https://esa-oas-prod-wl.itap.purdue.edu/prod/bzwsrch.p_catalog_detail?subject=STAT&term=CURRENT&cnbr=41700,
CS 49000 LSDA,Large Scale Data Analytics,https://esa-oas-prod-wl.itap.purdue.edu/prod/bzwsrch.p_catalog_detail?subject=CS&term=CURRENT&cnbr=49000%20LSDA,
CS 49000 DSC,Data Science Capstone,https://www.cs.purdue.edu/undergraduate/curriculum/data-science-capstone.html,
