Course,Course TItle,Course URL,Course Description
CME 302,Numerical Linear Algebra,https://exploredegrees-nextyear.stanford.edu/search/?P=CME%20302,
CME 305,Discrete Mathematics and Algorithms,https://exploredegrees-nextyear.stanford.edu/search/?P=CME%20305,
CME 307,Optimization,https://exploredegrees-nextyear.stanford.edu/search/?P=CME%20307,
CME 308,Stochastic Methods in Engineering,https://exploredegrees-nextyear.stanford.edu/search/?P=CME%20308,
CME 309,Randomized Algorithms and Probabilistic Analysis,https://exploredegrees-nextyear.stanford.edu/search/?P=CME%20309,
STATS 200,Introduction to Statistical Inference,https://exploredegrees-nextyear.stanford.edu/search/?P=STATS%20200,
STATS 203,Introduction to Regression Models and Analysis of Variance,https://exploredegrees-nextyear.stanford.edu/search/?P=STATS%20203,
STATS 305A,Introduction to Statistical Modeling,https://exploredegrees-nextyear.stanford.edu/search/?P=STATS%20305A,
STATS 315A,Modern Applied Statistics: Learning,https://exploredegrees-nextyear.stanford.edu/search/?P=STATS%20315A,
STATS 315B,Modern Applied Statistics: Data Mining,https://exploredegrees-nextyear.stanford.edu/search/?P=STATS%20315B,
CME 212,Advanced Software Development for Scientists and Engineers,https://exploredegrees-nextyear.stanford.edu/search/?P=CME%20212,
CME 213,"Introduction to parallel computing using MPI, openMP, and CUDA",https://exploredegrees-nextyear.stanford.edu/search/?P=CME%20213,
CME 323,Distributed Algorithms and Optimization,https://exploredegrees-nextyear.stanford.edu/search/?P=CME%20323,
CME 342,Parallel Methods in Numerical Analysis,https://exploredegrees-nextyear.stanford.edu/search/?P=CME%20342,
CS 149,Parallel Computing,https://exploredegrees-nextyear.stanford.edu/search/?P=CS%20149,
CS 315A,Parallel Computer Architecture and Programming,https://exploredegrees-nextyear.stanford.edu/search/?P=CS%20315A,
CS 316,Advanced Multi-Core Systems,https://exploredegrees-nextyear.stanford.edu/search/?P=CS%20316,
BIOE 214,Representations and Algorithms for Computational Molecular Biology,https://exploredegrees-nextyear.stanford.edu/search/?P=BIOE%20214,
BIOMEDIN 215,Data Driven Medicine,https://exploredegrees-nextyear.stanford.edu/search/?P=BIOMEDIN%20215,
BIOS 221/STATS 366,Modern Statistics for Modern Biology,https://exploredegrees-nextyear.stanford.edu/search/?P=BIOS%20221,
CS 224W,Social and Information Network Analysis,https://exploredegrees-nextyear.stanford.edu/search/?P=CS%20224W,
CS 229,Machine Learning,https://exploredegrees-nextyear.stanford.edu/search/?P=CS%20229,
CS 231N,Convolutional Neural Networks for Visual Recognition,https://exploredegrees-nextyear.stanford.edu/search/?P=CS%20231N,
CS 246,Mining Massive Data Sets,https://exploredegrees-nextyear.stanford.edu/search/?P=CS%20246,
CS 448,Topics in Computer Graphics,https://exploredegrees-nextyear.stanford.edu/search/?P=CS%20448,
ENERGY 240,Geostatistics,https://exploredegrees-nextyear.stanford.edu/search/?P=ENERGY%20240,
OIT 367,Business Intelligence from Big Data,https://exploredegrees-nextyear.stanford.edu/search/?P=OIT%20367,
PSYCH 204A,Human Neuroimaging Methods,https://exploredegrees-nextyear.stanford.edu/search/?P=PSYCH%20204A,
STATS 290,Computing for Data Science,https://exploredegrees-nextyear.stanford.edu/search/?P=STATS%20290,
