Course,Course TItle,Course URL,Course Description,(Competency),,,,,,
DATASCI W200,Fundamentals for Data Science ,,,Foundations of Data Science,,,,,,
DATASCI W201,Design and Applications for Data and Analysis ,,,Foundations of Data Science,,,,,,
DATASCI W203,for Data Science ,,,Foundations of Data Science,,,,,,
DATASCI W205,of Data Engineering ,,,Foundations of Data Science,,,,,,
DATASCI W207,Machine Learning ,,,Foundations of Data Science,,,,,,
DATASCI W209,Visualization ,,,Calculus I,,,,,,
DATASCI W210,Capstone,,,Calculus II,,,,,,
DATASCI W231,Behind the Data: Humans and Values ,,,Linear Algebra,,,,,,
DATASCI W241,Experiments and Causal Inference ,,,Linear Algebra,,,,,,
DATASCI W251,Learning in the Cloud and at the Edge ,,,Linear Algebra,,,,,,
DATASCI W261,Learning at Scale ,,,Linear Algebra,,,,,,
DATASCI W266,Language Processing with Deep Learning ,,,Program Structures,,,,,,
DATASCI W271,"Methods for Discrete Response, Time Series, and Panel Data ",,,Program Structures,,,,,,
