Course,Course TItle,Course URL,Course Description
MAT 271,Applied and Computational Harmonic Analysis,,
STA250,Numerical Optimization,,
ECS170,Artificial Intelligence,,
ECS230,Applied Numerical Linear Algebra,,
ECS271,Machine Learning,,
ECS165A,Database Systems,,
ECS163,Information Interfaces,,
ECS188,Ethics and Information Age,,
ECS256,Probabilistic Modeling,,
MAT128B,Numerical Analysis,,
MAT226B,Matrix Computations,,
MAT235B,Probability Theory,,
PHY256,Physics of Information and Computation,,
ECS231,Large Scale Scientific Computing,,
ECS253,Network Theory,,
STA141,Statistical Computing with R,,
ECS171,Machine Learning,,
