Course,Course TItle,Course URL,Course Description
STATS 120 A,Introduction to Probability and Statistics I,http://catalogue.uci.edu/allcourses/stats/,"Introduction to basic principles of probability and statistical inference. Axiomatic definition of probability, random variables, probability distributions, expectation."
STATS 120 B,Introduction to Probability and Statistics II,,"Introduction to basic principles of probability and statistical inference. Point estimation, interval estimating, and testing hypotheses, Bayesian approaches to inference."
STATS 120 C,Introduction to Probability and Statistics III,,"Introduction to basic principles of probability and statistical inference. Linear regression, analysis or variance, model checking."
STATS 68,Statistical Computing and Exploratory Data Analysis,,"Introduces key concepts in statistical computing. Techniques such as exploratory data analysis, data visualization, simulation, and optimization methods, will be presented in the context of data analysis within a statistical computing environment."
STATS 110,Statistical Methods for Data Analysis,,"Introduction to statistical methods for analyzing data from experiments and surveys. Methods covered include two-sample procedures, analysis of variance, simple and multiple linear regression."
STATS 112,Statistical Methods for Data Analysis III,,"Introduction to statistical methods for analyzing longitudinal data from experiments and cohort studies. Topics covered include survival methods for censored time-to-event data, linear mixed models, non-linear mixed effects models, and generalized estimating equations."
CS 178,Machine Learning and Data Mining,http://sli.ics.uci.edu/Classes/2016W-178,"Introduction to principles of machine learning and data-mining applied to real-world datasets. Typical applications include spam filtering, object recognition, and credit scoring"
STATS 140,Multivariate Statistical Methods,,"Theory and application of multivariate statistical methods. Topics include statistical inference for the multivariate normal model and its extensions to multiple samples and regression, use of statistical packages for data visualization and reduction, discriminant analysis, cluster analysis, and factor analysis."
ICS 46,Data Implementation and Analysis,https://www.ics.uci.edu/~pattis/ICS-46/handouts/syllabus/index.html,
IFMTX 43,Data Science: A Review,https://www.ics.uci.edu/~smyth/courses/stats5/onlineslides/data_science_final_lecture.pdf,
CS 122A,Introduction to Data Management,https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring,"Introduction to the design of databases and the use of database management systems (DBMS) for applications. Topics include entity-relationship modeling for design, relational data model, relational algebra, relational design theory, and Structured Query Language (SQL) programming."
CS 161,Design and Analysis of Algorithms,https://www.ics.uci.edu/~dan/class/161/index.html,"Techniques for efficient algorithm design, including divide-and-conquer and dynamic programming, and time/space analysis. Fast algorithms for problems applicable to networks, computer games, and scientific computing, such as sorting, shortest paths, minimum spanning trees, network flow, and pattern matching."
CS 131,Social Analysis of Computerization,https://www.ics.uci.edu/~redmiles/ics131-FQ03/,"Parallel and distributed computer systems. Parallel programming models. Common parallel and distributed programming issues. Specific topics include parallel programming, performance models, coordination and synchronization, consistency and replication, transactions, fault tolerance."
CS 172 B,Neural Networks and Deep Learning,http://catalogue.uci.edu/allcourses/compsci/,"Neural network and deep learning from multiple perspectives. Theory of parallel distributed processing systems, algorithmic approaches for learning from data in various manners, applications to difficult problems in AI from computer vision, to natural language understanding, to bioinformatics and chemoinformatics."
STATS 170 A,Project in Data Science I,,"Problem definition and analysis, data representation, algorithm selection, solution validation, and results presentation. Students do team projects and lectures cover analysis alternatives, project planning, and data analysis issues. First quarter emphasizes approach selection, project planning, and experimental design."
STATS 170 B,Project in Data Science II,,"Problem definition and analysis, data representation, algorithm selection, solution validation, and results presentation. Students do team projects and lectures cover analysis alternatives, project planning, and data analysis issues. Second quarter emphasizes project execution and analysis, and presentation of results."
INF 143,Information Visualization,https://www.ics.uci.edu/~redmiles/inf143-SQ08/,
INF 131,HUMAN-COMPUTER INTERACTION,https://canvas.eee.uci.edu/courses/3284/assignments/syllabus,
CS 121,Information Retrieval.,https://www.ics.uci.edu/~kay/courses/i141/w15.html,"An introduction to information retrieval including indexing, retrieval, classifying, and clustering text and multimedia documents."
CS 122B,Project in Databases and Web Applications,https://grape.ics.uci.edu/wiki/public/wiki/cs122b-2018-winter#Overview,"Introduces students to advanced database technologies and Web applications. Topics include database connectivity (ODBC/JDBC), extending databases using stored procedures, database administration, Web servers, Web programming languages (Java servlets, XML, Ajax, and mobile platforms)."
