Course,Course TItle,Course URL,Course Description
CS 410,Text Information Systems,https://cs.illinois.edu/sites/default/files/docs/syllabi/CS410_TextInformationSystem.pdf,
CS 411,Database Systems,https://cs.illinois.edu/sites/default/files/docs/syllabi/CS411_DatabaseSystems.pdf,
CS 412,Introduction to Data Mining,https://cs.illinois.edu/sites/default/files/docs/syllabi/CS412_IntroDataMining.pdf,
CS 498,Data Visualization,https://cs.illinois.edu/sites/default/files/docs/syllabi/CS498_DataVisualizationSyllabus.pdf,
CS 498,Applied Machine Learning,,
STAT 542,Practical Statistical Learning,,
CS 425,Distributed Systems,https://cs.illinois.edu/sites/default/files/docs/syllabi/CS425_DistributedSystems.pdf,
CS 498,Cloud Computing Applications,https://cs.illinois.edu/sites/default/files/docs/syllabi/CS498_CloudComputingApplications.pdf,
STAT 420,Methods of Applied Statistics,https://cs.illinois.edu/sites/default/files/docs/syllabi/STAT%20420%20Syllabus.pdf,
STAT 578,Advanced Bayesian Modelling,https://cs.illinois.edu/sites/default/files/docs/syllabi/CS598_STAT578_ABM.pdf,
CS 598,Foundations of Data Curation,https://cs.illinois.edu/sites/default/files/docs/syllabi/CS598_IS531_DataCuration.pdf,
CS 513,Theory & Practice of Data Cleaning,https://cs.illinois.edu/sites/default/files/docs/syllabi/CS598_DataCleaning.Syllabus.pdf,
CS 598,Data Mining Capstone,https://cs.illinois.edu/sites/default/files/docs/syllabi/CS598DataMiningCapstone.syllabus.pdf,
CS 598,Cloud Computing Capstone,https://cs.illinois.edu/sites/default/files/docs/syllabi/CS598_CloudComputingCapstone.pdf,
