Course,Course TItle,Course URL,Course Description
HS 650,Data Science and Predictive Analytics,http://predictive.space/,"The course aims to build computational abilities, inferential thinking, and practical skills for tackling core data scientific challenges. It explores foundational concepts in data management, processing, statistical computing, and dynamic visualization using modern programming tools and agile web-services. Concepts, ideas, and protocols are illustrated through examples of real observational, simulated and research-derived datasets. Some prior quantitative experience in programming, calculus, statistics, mathematical models, or linear algebra will be necessary."
HS 851,Scientific Methods for Health Sciences - Applied Inference,http://www.socr.umich.edu/people/dinov/2014/Fall/HS851/,"Applied inference methods in studies involving multiple variables. Specific methods that will be discussed include linear regression, analysis of variance, and different regression models. This course emphasizes the scientific formulation, analytical modeling, computational tools and applied statistical inference in diverse health-sciences problems. Hands-on data interrogation, modeling approaches, rigorous interpretation and inference."
HS 853,Scientific Methods for Health Sciences - Special Topics,http://www.socr.umich.edu/people/dinov/2015/Fall/HS853/,"Modern analytical methods for advanced healthcare research. Specific focus on innovative modeling, computational, analytic and visualization techniques to address concrete driving biomedical and healthcare applications. The course covers the 5 dimensions of Big-Data (volume, complexity, time/scale, source and management)."
EECS 453,Applied Data Analysis,,"Applied matrix algorithms for signal processing, data analysis and machine learning"
EECS 484,Database Management Systems,http://www.ccmb.med.umich.edu/node/160,Undergraduate level course for Computer Science and Engineering students
EECS 551,"Matrix Methods for Signal Processing, Data Analysis & Machine Learning",http://www.engin.umich.edu/college/academics/bulletin/courses/eecs,"Theory and application of matrix methods to signal processing, data analysis and machine learning. Theoretical topics include subspaces, eigenvalue and singular value decomposition, projection theorem, constrained, regularized and unconstrained least squares techniques and iterative algorithms. Applications such as image deblurring, ranking of webpages, image segmentation and compression, social networks, circuit analysis, recommender systems and handwritten digit recognition. Note: EECS 453 and EECS 551 share same lectures but have different recitations."
EECS 498,Data Mining,,Advanced Signal Processing & Applications
EECS453,Applied Data Analysis,,"Applied matrix algorithms for signal processing, data analysis and machine learning"
EECS 584,Advanced Database Management Systems,,"Masters/Ph.D. level course for students in Computer Science, Electrical Engineering, and Information School"
EECS 684,Current Topics in Databases,,Masters/Ph.D. level course for students in Computer Science and Electrical Engineering
EECS 445/545,Introduction to Machine Learning,,Programming-focused introduction to Machine Learning
EECS 545,Machine Learning,https://www.eecs.umich.edu/eecs/academics/courses/eecs-545.html,"Foundations of machine learning, mathematical derivation and implementation of the algorithms, and their applications"
EECS 598,Unsupervised Feature Learning,,"Principles and progress in unsupervised feature learning algorithms for machine learning applications. Topics include clustering, sparse coding, autoencoders, restricted Boltzmann machines, and deep belief networks"
EECS 598,Computational Data Science,http://midas.umich.edu/computational-data-science-eecs-598-bioinf-598/,"The Computational Data Science course offers an in-depth introduction to computational methods in data science for identifying, fitting, extracting and making sense of patterns in large data sets. More information and prerequisites are available."
EECS 598-007,Practical Machine Learning,,"Basics of practical machine learning and data mining while focusing on real-world applications. ML in the fields of sports analytics, data-driven medicine, finance, and personalized education"
EECS 598-006,Probabilistic Analysis of Large Scale Systems,https://www.eecs.umich.edu/eecs/academics/courses/eecs-598.html,"Emerging topics in epidemics and diffusions, queueing systems, analysis of randomized algorithms, Bayesian information cascades, network analysis and random graphs."
EECS 598-005,Theoretical Machine Learning,https://www.eecs.umich.edu/eecs/academics/courses/eecs-589.html,Understanding the mathematical underpinnings of machine learning.
IOE 511/MATH 562,Continuous Optimization Methods,http://www-personal.umich.edu/~mepelman/teaching/IOE511/syllabus.pdf,"Introduction to concepts and methods of constrained and unconstrained continuous nonlinear optimization. The course revolves around three issues in optimization: building optimization models of problems, characterization of their solutions, and algorithms for finding these solutions. As the semester progresses, I will compile a list of topics of each lecture on the web site. The outline of the topics cover: Introduction to optimization, optimality conditions for unconstrained problems, algorithms for unconstrained problems (steepest descent, Newton’s, etc.) and analysis of their convergence, optimality conditions and constraint qualifications for constrained problems, convexity and its role in optimization, algorithms for constrained problems (SQP, barrier and penalty methods, etc.), conic optimization problems, their applications, and methods for their solution."
