Course,Course TItle,Course URL,Course Description
DSBA 6100,Big Data Analytics for Competitive Advantage,,An introduction to the use of big data as a strategic resource. A focus is placed on integrating the knowledge of analytics tools with an understanding of how companies leverage data analytics to gain strategic advantage. A case approach is used to emphasize hands-on learning and a real-world view of big data analytics.
DSBA 6400,Internship,,A data science or business analytics project is chosen and completed under the guidance of an industry partner. Each student’s internship project program must be approved by the program director. A proposal form must be completed and approved prior to registration and the commencement of the internship. A mid-term report and a final report to be evaluated by the industry partner and supervising faculty. Grading is by the supervising faculty in consultation with off-campus supervisor at the internship organization. 
DSBA 5122,Visual Analytics,,"Introduces the new field of visual analytics, which integrates interactive analytical methods and visualization. Topics include: critical thinking, visual reasoning, perception/cognition, statistical and other analysis techniques, principles of interaction, and applications."
DSBA 6156,Machine Learning,,"Practical perspectives and applications of machine learning methods and techniques including: acquisition of declarative knowledge; organization of knowledge into new, more effective representations; development of new skills through instruction and practice; and discovery of new facts and theories through observation and experimentation."
DSBA 6160,Database Systems,,"The modeling, programming, integration, and provenance of big data.  Focuses on SQL and NoSQL, but may also address other advanced topics. Topics include: (1) modeling/theory: basics of RDBMS and NoSQL, database design; (2) programming: SQL and NoSQL query languages; (3) integration: data warehousing, preprocessing; (4) databases in the Cloud; and (5) provenance: data version control, data lifecycle management."
DSBA 6201,Business Intelligence and Analytics,,"An overview of the business approach to identifying, modeling, retrieving, sharing, and evaluating an enterprise’s data and knowledge assets.  Focuses on the understanding of data and knowledge management, data warehousing, data mining (including rule-based systems, decision trees, neural networks, etc.), and other business intelligence concepts.  Covers the organizational, technological and management perspectives."
DSBA 6211,Advanced Business Analytics,,"An in-depth study of applications of data analytics techniques to discover non-trivial relationships that are understandable, useful, and actionable to decision makers.  A case approach is used to emphasize hands-on learning and real-world deployment of business analytics."
DSBA 6276,Consumer Analytics,,"The utilization of analytics techniques in marketing decision-making and consumer strategy.  Involves the extraction of hidden insight about consumers from structured and unstructured Big Data, and the translation of that insight into a market advantage.  Applications in areas such as consumer targeting, product innovation, and promotion strategy."
DSBA 5121,Information Visualization,,"Information visualization concepts, theories, design principles, popular techniques, evaluation methods, and information visualization applications."
DSBA 6155,Knowledge-Based Systems,,"Knowledge systems; knowledge discovery; association rules; action rules, hierarchical classifiers, cascade classifiers, query languages and their semantics; cooperative and collaborative systems; ontology and metadata; flexible query answering; chase algorithms and data sanitization methods; decision support systems in medicine; and automatic indexing of music."
DSBA 6190,Cloud Computing for Data Analysis,,"Introduction to the basic principles of cloud computing for data-intensive applications.  Focuses on parallel computing using Google’s MapReduce paradigm on Linux clusters, and algorithms for large-scale data analysis applications in web search, information retrieval, computational advertising, and business and scientific data analysis.  Students read and present research papers on these topics, and implement programming projects using Hadoop, an open source implementation of Google’s MapReduce technology, and related NoSQL technologies for analyzing unstructured data."
DSBA 5510,Web Mining,,"Topics include: measuring and modeling the Web; crawling, Web search and information retrieval; unsupervised learning, supervised learning, semi-supervised learning in Web context; social network analysis and hyperlink analysis; text parsing and knowledge representation."
DSBA 6162,Knowledge Discovery in Databases,,"Exploration of the entire knowledge discovery process.  Topics include: setting up a problem, data preprocessing and warehousing, data mining in search for knowledge, knowledge evaluation, visualization and application in decision making.  A broad range of systems, such as OLAP, LERS, DatalogicR+, C4.5, AQ15, Forty-Niner, CN2, QRAS, and discretization algorithms are also covered."
DSBA 6265,Advanced Topics in Knowledge Discovery in Databases,,"Information visualization in data mining and knowledge discovery, predictive data mining, mining of multimedia sources, mining of unstructured data, distributed data mining, mining of Web data/information, mining complex types of data, mining of biotechnology data, applications, and trends in data mining."
DSBA 6500,Complex Adaptive Systems,,"Complex adaptive systems (CAS) are networked (agents/part interact with their neighbors and, occasionally, distant agents), nonlinear (the whole is greater than the sum of its parts), adaptive (the system learns to change with its environment), open (new resources are being introduced into the environment), dynamic (the change is a norm), emergent (new, unplanned features of the system get introduced through the interaction of its parts/agents), and self-organizing (the parts organize themselves into a hierarchy of subsystems of various complexity).  Ant colonies, networks of neurons, the immune system, the Internet, social institutions, organization of cities, and the global economy are a few examples where the behavior of the whole is much more complex than the behavior of the parts.  Covers those and similar topics in an interactive manner.  Examples of our current research effort are provided.  Topics include:  Self-organization; emergent properties; learning; agents; localization affect; adaptive systems; nonlinear behavior; chaos; complexity."
DSBA 6520,Network Science,,"Network Science helps students design faster, more resilient communication networks; revise infrastructure systems such as electrical power grids, telecommunications networks, and airline routes; model market dynamics; understand synchronization in biological systems; and analyze social interactions among people.  It examines the various kinds of networks (regular, random, small-world, influence, scale-free, and social) and applies network processes and behaviors to emergence, epidemics, synchrony, and risk.  This course integrates concepts across computer science, biology, physics, social network analysis, economics, and marketing."
DSBA 6112,Graduate Econometrics,,"Advanced study of the theory and application of statistics to economic problems.  Topics include:  derivation of least-squares estimators; maximum likelihood estimation; and problems of multicollinearity, heteroskedasticity, and autocorrelation."
DSBA 6122,Decision Modeling and Analysis via Spreadsheets,,An analytical approach to the management process.  Generalized models for decision making with major emphasis on application of the scientific method to management problems.
DSBA 6171,Geospatial Analytics and Crime Analytics,,
DSBA 6207,Project Management,,"Project management is widely used in a variety of business environments to manage complex, non-routine endeavors.  Examples of projects include consulting and process improvement projects, advertising projects, and technology projects.  Focuses on tools, techniques, and skills for business project management, with attention to both the quantitative and the qualitative aspects of project management.  Topics include: project evaluation, estimation, monitoring, risk management, audit, managing global projects, outsourcing, and project portfolio management.  Students also gain experience using Project Management Software. "
DSBA 6208,Supply Chain Management,,"Supply chain management is concerned with all of the activities performed from the initial raw materials to the ultimate consumption of the finished product.  From a broad perspective, the course is designed to examine the major aspects of the supply chain: the product flows; the information flows; and the relationships among supply chain participants.  The course content is interdisciplinary in nature and covers a variety of topics such as supply chain information technologies, supply chain design, strategic alliances between supply chain participants and supply chain initiatives."
DSBA 6277,Social Media Marketing and Analytics,,"The utilization of social media in marketing strategy and tactics.  Topics include:  the use of social media in building brand strength and equity, as a customer acquisition tool, and as a customer relationship management tool.  The utilization of analytics in effective social media marketing."
DSBA 6278,Innovation Analytics,,The comprehension and application of text analytics as a tool to examine unstructured qualitative information to generate innovations.  Identifying the various sources of consumer insight and using them in innovation strategy.  Understand how to differentiate between what consumers want versus what they say.
DSBA 6283,Mobile Marketing and Analytics,,
