Course,Course TItle,Course URL,Course Description,(Competency)
CS 5010,Programming and Systems for Data Science,,"The objective of this course is to introduce basic data analysis techniques including data analysis at scale, in the context of real-world domains such as bioinformatics, public health, marketing, security, etc. For the purpose of facilitating data manipulation and analysis, students will be introduced to essential programming techniques in Python, an increasingly prominent language for data science and "big data" manipulation.",
STAT 6430,Statistical Computing for Data Science,,"An introduction to statistical programming, including data manipulation and cleaning, importing and exporting data, managing missing values, data frames, functions, lists, matrices, writing functions, and the use of packages. Efficient programming practices and methods of summarizing and visualizing data are emphasized throughout. SAS and R are the primary computational tools. ",
STAT 6021,Linear Models for Data Science,,"An introduction to linear statistical models in the context of data science. Topics include simple and multiple linear regression, generalized linear models, time series, analysis of covariance, tree-based classification, and principal components. The primary software is R.",
CS 5012,Foundations of Computer Science,,"Provide a foundation in discrete mathematics, data structures, algorithmic design and implementation, computational complexity, parallel computing, and data integrity and consistency for non-CS, non-CpE students. Case studies and exercises will be drawn from real-world examples (e.g., bioinformatics, public health, marketing, and security). ",
SYS 6018,Data Mining,,"Data mining describes approaches to turning data into information. Rather than the more typical deductive strategy of building models using known principles, data mining uses inductive approaches to discover the appropriate models. These models describe a relationship between a system's response and a set of factors or predictor variables. Data mining in this context provides a formal basis for machine learning and knowledge discovery. This course investigates the construction of empirical models from data mining for systems with both discrete and continuous valued responses. It covers both estimation and classification, and explores both practical and theoretical aspects of data mining",
DS 6001,Practice and Application of Data Science,,"This course covers the practice of data science practice, including communication, exploratory data analysis, and visualization. Also covered are the selection of algorithms to suit the problem to be solved, user needs, and data. Case studies will explore the impact of data science across different domains.",
DS 6002,Ethics of Big Data,,"This course examines the ethical issues arising around big data and provides frameworks, context, concepts, and theories to help students think through and deal with the issues as they encounter them in their professional lives.",
DS 6011,Capstone Project,,"This course is designed for capstone project teams to meet in groups, with advisors, and with clients to advance work on their projects.",
SYS 6016,Machine Learning,,"A graduate-level course on machine learning techniques and applications with emphasis on their application to systems engineering. Topics include: Bayesian learning, evolutionary algorithms, instance-based learning, reinforcement learning, and neural networks. Students are required to have sufficient computational background to complete several substantive programming assignments. Prerequisite: A course covering statistical techniques such as regression",
DS 6003,Practice and Application of Data Science II,,"This course covers the practice of data science practice, including communication, exploratory data analysis, and visualization. Also covered are the selection of algorithms to suit the problem to be solved, user needs, and data. Students will use their capstone projects to explore the impact of data science on that domain.",
DS 6013,Data Science Capstone Project Work II,,"This course is designed for capstone project teams to meet in groups, with advisors, and with clients to advance work on their projects.",
CS 6160,Theory of Computation,http://www.cs.virginia.edu/~robins/cs6161/,"Analyzes formal languages, the Chomsky hierarchy, formal computation and machine models, finite automata, pushdown automata, Turing machines, Church's thesis, reductions, decidability and undecidability, and NP-completeness. Prerequisite: CS 3102 or equivalent.",
CS 6444,Parallel Computing,,"The purpose of this course is to introduce the student to the basics of high-performance parallel computing and the national cyber-infrastructure. The course is targeted for both computer science students and students from other disciplines who want to learn how to significantly increase the performance of applications. Parallel computing is a programming intensive discipline, where nuances of implementation can have significant impact on program performance. This class is a programming intensive class. If you are a weak programmer you may encounter difficulty. It is expected that the student know one or more of C, C++, or Fortran, as well as Unix basics and shell scripting. Further, the student is expected to know basic computer architecture, the role of the CPU, the memory system, and the caches.",
CS 6750,Database Systems,https://collab.its.virginia.edu/portal/site/f37f53a7-8a65-41f3-b5d2-db2f1fc15515,"Studies new database systems, emphasizing database design and related system issues. Explores advanced topics such as object-oriented and real-time database systems, data warehousing, data mining, and workflow. Makes use of either commercial or research database systems for in-class projects.",
ECON 8720,Time Series Econometrics,,Studies econometric techniques for the analysis of economic time series. ,
ECON 7720,Econometrics II,,"Development of the linear and non-linear regression models including hypothesis testing, specification, instrumental variables, generalized least squares, and asymtotic distribution theory. Includes an introduction to identification and estimation of simultaneous equation models.",
EVSC 7070,Advanced Use of Geographical Information Systems,,Geographical data is increasingly important i n understanding our society and our environment. This course will focus on teaching stiudents advanced principles and operation of GIS software. It's a im is to develop students who are prepared to apply GIS to a variety of research problems by expoing them to tools and techniques that go beyond those covered in a basic course on GIS. Prerequisite: EVSC 5020 or equivalent experience,
GCOM 7240,Advanced Quantitative Analysis,,"Multivariate statistics training to analyze Big Data sets. The course covers discrete choice modeling (logistic and probit models), classification techniques (discriminant and cluster analyses), data reduction techniques (factor analysis), and advanced predictive techniques (regression models with interactions and curvilinear effects, structural equation modeling, and factorial ANOVA). ",
