Course,Course TItle,Course URL,Course Description,(Competency)
DSA 6000,Data Science & Analytics,https://engineering.wayne.edu/data-analytics/syllabi/dsa_6000_-_syllabus_-_fall_2017.docx,,
DSB 6000,Data Science Strategy & Leadership,https://engineering.wayne.edu/data-analytics/syllabi/dsb6000_data_science_strategy_and_leadership_-_syllabus.pdf,,
DSE 6000,Computing Platforms for Data Science,https://engineering.wayne.edu/data-analytics/syllabi/dse_6000_computing_platforms_for_data_science_-_course_syllabus_-_fall_2017.pdf,,
DSA 6100,Statistical Methods for Data Science & Analytics,https://engineering.wayne.edu/data-analytics/syllabi/dsa_6100_-_statistical_methods_for_data_science_and_analytics.pdf,,
DSA 6200,Operations Research,https://engineering.wayne.edu/data-analytics/syllabi/dsa6200_-_operations_research_-_fall_2017.docx,,
DSA 6300,Decision Analysis & Simulation,https://engineering.wayne.edu/data-analytics/syllabi/dsa_6300_-_decison_analysis_and_simulation.docx,,
IE7860,Intelligent Analytics (Neural Networks & Deep Learning),https://engineering.wayne.edu/ise/programs/ie7860_-_intelligent_analytics_-_syllabus_-_winter_2018.pdf,,
CSC-7810,Data Mining: Algorithms and Applications,,,
CSC-7825,Machine Learning,,,
DSA 7500,Advanced Analytics Practicum,https://engineering.wayne.edu/data-analytics/syllabi/dsa_7500_-_data_science_and_analytics_practicum_course.docx,,
DSB 6100,Marketing Analytics,https://engineering.wayne.edu/data-analytics/syllabi/dsb_6100_-_marketing_analytics.docx,,
DSB 6200,Manufacturing & Supply Chain Analytics,https://engineering.wayne.edu/data-analytics/syllabi/dsb_6200_-_manufacturing_supply_chain_analytics.docx,,
DSB 6300,Social & Collaboration Networks,https://engineering.wayne.edu/data-analytics/syllabi/dsb_6300_-_social_collaboration_networks.docx,,
DSB 7500,Applied Business Analytics Practicum,,,
DSE 6100,Data Modeling & Management,https://engineering.wayne.edu/data-analytics/syllabi/dse_6100_-_data_modeling_and_management.docx,,
DSE 6200,Modern Databases,https://engineering.wayne.edu/data-analytics/syllabi/dse6200-modern_databases-fall-2017.docx,,
DSE 6300,Data Science Applications Development,https://engineering.wayne.edu/data-analytics/syllabi/dse_6300_-_data_science_applications_development.docx,,
DSE 7500,Applied Engineering Practicum,https://engineering.wayne.edu/data-analytics/syllabi/dse_7500_data_science_and_engineering_practicum_course.docx,,
