Year,All people (Total),Below poverty (Number),Below poverty (Percent),All Families  (Total),Below poverty (Number),Below poverty (Percent),"People in Families (Families with Female Householder
No Husband Present)(Total) ","People in Families (Families with Female Householder
No Husband Present)(Total) (Below poverty) (Number)","People in Families (Families with Female Householder
No Husband Present)(Total) (Below poverty) (Percent)",People in Families (Unrelated Individuals) (Total),People in Families (Unrelated Individuals) (Total) (Below poverty) (Number),People in Families (Unrelated Individuals) (Total) (Below poverty) (Percent)
2016,"319,911","40,616",12.7,"259,863","27,762",10.7,"48,243","13,914",28.8,"58,839","12,336",21.0
2015,"318,454","43,123",13.5,"258,121","29,893",11.6,"48,497","14,719",30.4,"58,988","12,671",21.5
2014,"315,804","46,657",14.8,"256,308","32,615",12.7,"48,019","15,905",33.1,"57,937","13,374",23.1
2013 (19),"313,096","46,269",14.8,"256,070","32,786",12.8,"49,951","17,170",34.4,"55,400","12,707",22.9
2013 (18),"312,965","45,318",14.5,"254,988","31,530",12.4,"47,007","15,606",33.2,"56,564","13,181",23.3
2012,"310,648","46,496",15.0,"252,863","33,198",13.1,"47,085","15,957",33.9,"56,185","12,558",22.4
2011,"308,456","46,247",15.0,"252,316","33,126",13.1,"48,103","16,451",34.2,"54,517","12,416",22.8
2010 (17),"306,130","46,343",15.1,"250,200","33,120",13.2,"46,454","15,911",34.3,"54,250","12,449",22.9
2009,"303,820","43,569",14.3,"249,384","31,197",12.5,"45,315","14,746",32.5,"53,079","11,678",22.0
2008,"301,041","39,829",13.2,"248,301","28,564",11.5,"44,027","13,812",31.4,"51,534","10,710",20.8
2007,"298,699","37,276",12.5,"245,443","26,509",10.8,"43,961","13,478",30.7,"51,740","10,189",19.7
2006,"296,450","36,460",12.3,"245,199","25,915",10.6,"43,223","13,199",30.5,"49,884","9,977",20.0
2005,"293,135","36,950",12.6,"242,389","26,068",10.8,"42,244","13,153",31.1,"49,526","10,425",21.1
2004 (14),"290,617","37,040",12.7,"240,754","26,544",11.0,"42,053","12,832",30.5,"48,609","9,926",20.4
2003,"287,699","35,861",12.5,"238,903","25,684",10.8,"41,311","12,413",30.0,"47,594","9,713",20.4
2002,"285,317","34,570",12.1,"236,921","24,534",10.4,"40,529","11,657",28.8,"47,156","9,618",20.4
2001,"281,475","32,907",11.7,"233,911","23,215",9.9,"39,261","11,223",28.6,"46,392","9,226",19.9
2000 (12),"278,944","31,581",11.3,"231,909","22,347",9.6,"38,375","10,926",28.5,"45,624","8,653",19.0
1999 (11),"276,208","32,791",11.9,"230,789","23,830",10.3,"38,580","11,764",30.5,"43,977","8,400",19.1
1998,"271,059","34,476",12.7,"227,229","25,370",11.2,"39,000","12,907",33.1,"42,539","8,478",19.9
1997,"268,480","35,574",13.3,"225,369","26,217",11.6,"38,412","13,494",35.1,"41,672","8,687",20.8
1996,"266,218","36,529",13.7,"223,955","27,376",12.2,"38,584","13,796",35.8,"40,727","8,452",20.8
1995,"263,733","36,425",13.8,"222,792","27,501",12.3,"38,908","14,205",36.5,"39,484","8,247",20.9
1994,"261,616","38,059",14.5,"221,430","28,985",13.1,"37,253","14,380",38.6,"38,538","8,287",21.5
1993 (10),"259,278","39,265",15.1,"219,489","29,927",13.6,"37,861","14,636",38.7,"38,038","8,388",22.1
1992 (9 ),"256,549","38,014",14.8,"217,936","28,961",13.3,"36,446","14,205",39.0,"36,842","8,075",21.9
1991 (8 ),"251,192","35,708",14.2,"212,723","27,143",12.8,"34,795","13,824",39.7,"36,845","7,773",21.1
1990,"248,644","33,585",13.5,"210,967","25,232",12.0,"33,795","12,578",37.2,"36,056","7,446",20.7
1989,"245,992","31,528",12.8,"209,515","24,066",11.5,"32,525","11,668",35.9,"35,185","6,760",19.2
