Year,All people (Total),Below poverty (Number),Below poverty (Percent),All Families  (Total),Below poverty (Number),Below poverty (Percent),"People in Families (Families with Female Householder
No Husband Present)(Total) ","People in Families (Families with Female Householder
No Husband Present)(Total) (Below poverty) (Number)","People in Families (Families with Female Householder
No Husband Present)(Total) (Below poverty) (Percent)",People in Families (Unrelated Individuals) (Total),People in Families (Unrelated Individuals) (Total) (Below poverty) (Number),People in Families (Unrelated Individuals) (Total) (Below poverty) (Percent)
2016,"18,879","1,908",10.1,"16,220","1,179",7.3,"1,657",326,19.7,"2,627",715,27.2
2015,"18,241","2,078",11.4,"15,597","1,260",8.1,"1,435",222,15.5,"2,556",784,30.7
2014,"17,790","2,137",12.0,"15,261","1,391",9.1,"1,725",315,18.2,"2,431",713,29.3
2013 (19),"17,257","2,255",13.1,"15,057","1,589",10.6,"1,574",442,28.1,"2,180",661,30.3
2013 (18),"17,063","1,785",10.5,"14,895","1,154",7.7,"1,657",228,13.7,"2,128",623,29.3
2012,"16,417","1,921",11.7,"14,190","1,357",9.6,"1,515",309,20.4,"2,156",547,25.4
2011,"16,086","1,973",12.3,"14,100","1,389",9.9,"1,570",327,20.8,"1,921",571,29.7
2010 (17),"15,611","1,899",12.2,"13,515","1,341",9.9,"1,471",327,22.2,"2,040",547,26.8
2009,"14,005","1,746",12.5,"12,296","1,244",10.1,"1,353",250,18.5,"1,673",491,29.3
2008,"13,310","1,576",11.8,"11,719","1,192",10.2,"1,308",209,16.0,"1,574",378,24.0
2007,"13,257","1,349",10.2,"11,471",930,8.1,"1,256",217,17.3,"1,720",391,22.7
2006,"13,177","1,353",10.3,"11,428",912,8.0,"1,057",187,17.7,"1,683",428,25.4
2005,"12,580","1,402",11.1,"10,911",970,8.9,"1,059",189,17.8,"1,645",427,26.0
2004 (14),"12,231","1,201",9.8,"10,734",812,7.6,"1,024",135,13.2,"1,472",388,26.3
2003,"11,856","1,401",11.8,"10,333","1,017",9.8,"1,028",242,23.6,"1,494",375,25.1
2002,"11,541","1,161",10.1,"9,899",763,7.7,"1,019",155,15.2,"1,613",390,24.2
