Year,All people (Total),Below poverty (Number),Below poverty (Percent),All Families  (Total),Below poverty (Number),Below poverty (Percent),"People in Families (Families with Female Householder
No Husband Present)(Total) ","People in Families (Families with Female Householder
No Husband Present)(Total) (Below poverty) (Number)","People in Families (Families with Female Householder
No Husband Present)(Total) (Below poverty) (Percent)",People in Families (Unrelated Individuals) (Total),People in Families (Unrelated Individuals) (Total) (Below poverty) (Number),People in Families (Unrelated Individuals) (Total) (Below poverty) (Percent)
2016,"20,756","2,062",9.9,"17,856","1,287",7.2,"1,931",365,18.9,"2,858",761,26.6
2015,"20,037","2,234",11.1,"17,183","1,361",7.9,"1,675",254,15.2,"2,762",839,30.4
2014,"19,685","2,268",11.5,"16,964","1,479",8.7,"1,994",355,17.8,"2,621",754,28.8
2013 (19),"19,182","2,398",12.5,"16,800","1,680",10.0,"1,873",525,28.1,"2,339",700,29.9
2013 (18),"19,023","1,974",10.4,"16,642","1,305",7.8,"1,923",323,16.8,"2,333",660,28.3
2012,"18,173","2,072",11.4,"15,751","1,467",9.3,"1,756",374,21.3,"2,334",580,24.8
2011,"17,813","2,189",12.3,"15,591","1,550",9.9,"1,847",411,22.2,"2,133",614,28.8
2010 (17),"17,237","2,064",12.0,"14,950","1,463",9.8,"1,804",386,21.4,"2,208",578,26.2
2009,"15,272","1,901",12.4,"13,403","1,361",10.2,"1,539",290,18.9,"1,826",527,28.8
2008,"14,543","1,686",11.6,"12,817","1,270",9.9,"1,471",228,15.5,"1,707",410,24.0
2007,"14,430","1,467",10.2,"12,527","1,012",8.1,"1,421",250,17.6,"1,837",426,23.2
2006,"14,331","1,447",10.1,"12,463",984,7.9,"1,210",220,18.1,"1,801",449,24.9
2005,"13,731","1,501",10.9,"11,931","1,039",8.7,"1,223",220,18.0,"1,771",457,25.8
2004 (14),"13,291","1,295",9.7,"11,661",876,7.5,"1,190",170,14.3,"1,599",417,26.1
2003,"12,891","1,527",11.8,"11,266","1,116",9.9,"1,184",294,24.8,"1,590",402,25.3
2002,"12,487","1,243",10.0,"10,742",816,7.6,"1,146",175,15.3,"1,708",417,24.4
