ASIAN AND PACIFIC ISLANDER,,,,,,,,,,,,
Year,All people (Total),Below poverty (Number),Below poverty (Percent),All Families  (Total),Below poverty (Number),Below poverty (Percent),"People in Families (Families with Female Householder
No Husband Present)(Total) ","People in Families (Families with Female Householder
No Husband Present)(Total) (Below poverty) (Number)","People in Families (Families with Female Householder
No Husband Present)(Total) (Below poverty) (Percent)",People in Families (Unrelated Individuals) (Total),People in Families (Unrelated Individuals) (Total) (Below poverty) (Number),People in Families (Unrelated Individuals) (Total) (Below poverty) (Percent)
2001,"12,465","1,275",10.2,"10,745",873,8.1,"1,333",198,14.8,"1,682",393,23.4
2000 (12),"12,672","1,258",9.9,"11,044",895,8.1,"1,231",289,23.4,"1,588",350,22.0
1999 (11),"11,955","1,285",10.7,"10,507","1,010",9.6,"1,201",275,22.9,"1,415",270,19.1
1998,"10,873","1,360",12.5,"9,576","1,087",11.4,"1,123",373,33.2,"1,266",257,20.3
1997,"10,482","1,468",14.0,"9,312","1,116",12.0,932,313,33.6,"1,134",327,28.9
1996,"10,054","1,454",14.5,"8,900","1,172",13.2,"1,018",300,29.5,"1,120",255,22.8
1995,"9,644","1,411",14.6,"8,582","1,112",13.0,919,266,28.9,"1,013",260,25.6
1994,"6,654",974,14.6,"5,915",776,13.1,582,137,23.6,696,179,25.7
1993 (10),"7,434","1,134",15.3,"6,609",898,13.6,725,126,17.4,791,228,28.8
1992 (9 ),"7,779",985,12.7,"6,922",787,11.4,729,183,25.0,828,193,23.3
1991 (8 ),"7,192",996,13.8,"6,367",773,12.1,721,177,24.6,785,209,26.6
1990,"7,014",858,12.2,"6,300",712,11.3,638,132,20.7,668,124,18.5
1989,"6,673",939,14.1,"5,917",779,13.2,614,212,34.6,712,144,20.2
1988,"6,447","1,117",17.3,"5,767",942,16.3,650,263,40.5,651,160,24.5
1987 (7 ),"6,322","1,021",16.1,"5,785",875,15.1,584,187,32.0,516,138,26.8
