Year,All people (Total),Below poverty (Number),Below poverty (Percent),All Families  (Total),Below poverty (Number),Below poverty (Percent),"People in Families (Families with Female Householder
No Husband Present)(Total) ","People in Families (Families with Female Householder
No Husband Present)(Total) (Below poverty) (Number)","People in Families (Families with Female Householder
No Husband Present)(Total) (Below poverty) (Percent)",People in Families (Unrelated Individuals) (Total),People in Families (Unrelated Individuals) (Total) (Below poverty) (Number),People in Families (Unrelated Individuals) (Total) (Below poverty) (Percent)
2001,"35,871","8,136",22.7,"29,869","6,389",21.4,"12,550","4,694",37.4,"5,873","1,692",28.8
2000 (12),"35,425","7,982",22.5,"29,378","6,221",21.2,"12,383","4,774",38.6,"5,885","1,702",28.9
1999 (11),"35,756","8,441",23.6,"29,819","6,758",22.7,"12,823","5,232",40.8,"5,668","1,562",27.5
1998,"34,877","9,091",26.1,"29,333","7,259",24.7,"13,156","5,629",42.8,"5,390","1,752",32.5
1997,"34,458","9,116",26.5,"28,962","7,386",25.5,"13,218","5,654",42.8,"5,316","1,645",31.0
1996,"34,110","9,694",28.4,"28,933","7,993",27.6,"13,193","6,123",46.4,"4,989","1,606",32.2
1995,"33,740","9,872",29.3,"28,777","8,189",28.5,"13,604","6,553",48.2,"4,756","1,551",32.6
1994,"33,353","10,196",30.6,"28,499","8,447",29.6,"12,926","6,489",50.2,"4,649","1,617",34.8
1993 (10),"32,910","10,877",33.1,"28,106","9,242",32.9,"13,132","6,955",53.0,"4,608","1,541",33.4
1992 (9 ),"32,411","10,827",33.4,"27,790","9,134",32.9,"12,591","6,799",54.0,"4,410","1,569",35.6
1991 (8 ),"31,313","10,242",32.7,"26,565","8,504",32.0,"11,960","6,557",54.8,"4,505","1,590",35.3
1990,"30,806","9,837",31.9,"26,296","8,160",31.0,"11,866","6,005",50.6,"4,244","1,491",35.1
1989,"30,332","9,302",30.7,"25,931","7,704",29.7,"11,190","5,530",49.4,"4,180","1,471",35.2
1988,"29,849","9,356",31.3,"25,484","7,650",30.0,"10,794","5,601",51.9,"4,095","1,509",36.8
1987 (7 ),"29,362","9,520",32.4,"25,128","7,848",31.2,"10,701","5,789",54.1,"3,977","1,471",37.0
1986,"28,871","8,983",31.1,"24,910","7,410",29.7,"10,175","5,473",53.8,"3,714","1,431",38.5
1985,"28,485","8,926",31.3,"24,620","7,504",30.5,"10,041","5,342",53.2,"3,641","1,264",34.7
1984,"28,087","9,490",33.8,"24,387","8,104",33.2,"10,384","5,666",54.6,"3,501","1,255",35.8
1983 (6 ),"27,678","9,882",35.7,"24,138","8,376",34.7,"10,059","5,736",57.0,"3,287","1,338",40.7
1982,"27,216","9,697",35.6,"23,948","8,355",34.9,"9,699","5,698",58.8,"3,051","1,229",40.3
1981 (5 ),"26,834","9,173",34.2,"23,423","7,780",33.2,"9,214","5,222",56.7,"3,277","1,296",39.6
1980,"26,408","8,579",32.5,"23,084","7,190",31.1,"9,338","4,984",53.4,"3,208","1,314",41.0
1979 (4 ),"25,944","8,050",31.0,"22,666","6,800",30.0,"9,065","4,816",53.1,"3,127","1,168",37.3
1978,"24,956","7,625",30.6,"22,027","6,493",29.5,"8,689","4,712",54.2,"2,929","1,132",38.6
1977,"24,710","7,726",31.3,"21,850","6,667",30.5,"8,315","4,595",55.3,"2,860","1,059",37.0
1976,"24,399","7,595",31.1,"21,840","6,576",30.1,"7,926","4,415",55.7,"2,559","1,019",39.8
1975,"24,089","7,545",31.3,"21,687","6,533",30.1,"7,679","4,168",54.3,"2,402","1,011",42.1
1974 (3 ),"23,699","7,182",30.3,"21,341","6,255",29.3,"7,483","4,116",55.0,"2,359",927,39.3
1973,"23,512","7,388",31.4,"21,328","6,560",30.8,"7,188","4,064",56.5,"2,183",828,37.9
1972,"23,144","7,710",33.3,"21,116","6,841",32.4,"7,125","4,139",58.1,"2,028",870,42.9
1971 (2 ),"22,784","7,396",32.5,"20,900","6,530",31.2,"6,398","3,587",56.1,"1,884",866,46.0
1970,"22,515","7,548",33.5,"20,724","6,683",32.2,"6,225","3,656",58.7,"1,791",865,48.3
1969,"22,011","7,095",32.2,"20,192","6,245",30.9,"5,537","3,225",58.2,"1,819",850,46.7
1968,"21,944","7,616",34.7,(NA),"6,839",33.7,(NA),"3,312",58.9,(NA),777,46.3
1967 (1 ),"21,590","8,486",39.3,(NA),"7,677",38.4,(NA),"3,362",61.6,(NA),809,49.3
1966,"21,206","8,867",41.8,(NA),"8,090",40.9,(NA),"3,160",65.3,(NA),777,54.4
1959,"18,013","9,927",55.1,(NA),"9,112",54.9,(NA),"2,416",70.6,"1,430",815,57.0
