Year,All people (Total),Below poverty (Number),Below poverty (Percent),All Families  (Total),Below poverty (Number),Below poverty (Percent),"People in Families (Families with Female Householder
No Husband Present)(Total) ","People in Families (Families with Female Householder
No Husband Present)(Total) (Below poverty) (Number)","People in Families (Families with Female Householder
No Husband Present)(Total) (Below poverty) (Percent)",People in Families (Unrelated Individuals) (Total),People in Families (Unrelated Individuals) (Total) (Below poverty) (Number),People in Families (Unrelated Individuals) (Total) (Below poverty) (Percent)
2016,"41,962","9,234",22.0,"33,199","6,709",20.2,"13,964","4,777",34.2,"8,679","2,484",28.6
2015,"41,625","10,020",24.1,"32,890","7,305",22.2,"14,549","5,198",35.7,"8,549","2,635",30.8
2014,"41,112","10,755",26.2,"32,546","8,013",24.6,"14,091","5,670",40.2,"8,419","2,685",31.9
2013 (19),"40,498","10,186",25.2,"32,658","7,665",23.5,"14,838","5,759",38.8,"7,717","2,483",32.2
2013 (18),"40,615","11,041",27.2,"32,564","8,390",25.8,"13,816","5,871",42.5,"7,842","2,536",32.3
2012,"40,125","10,911",27.2,"32,122","8,251",25.7,"13,931","5,735",41.2,"7,841","2,549",32.5
2011,"39,609","10,929",27.6,"31,800","8,334",26.2,"14,145","5,980",42.3,"7,659","2,524",33.0
2010 (17),"39,283","10,746",27.4,"31,596","8,181",25.9,"14,236","5,831",41.0,"7,419","2,479",33.4
2009,"38,556","9,944",25.8,"31,306","7,642",24.4,"13,680","5,427",39.7,"7,102","2,209",31.1
2008,"37,966","9,379",24.7,"30,986","7,339",23.7,"13,648","5,533",40.5,"6,835","1,970",28.8
2007,"37,665","9,237",24.5,"30,778","7,312",23.8,"13,741","5,459",39.7,"6,807","1,898",27.9
2006,"37,306","9,048",24.3,"30,621","7,072",23.1,"13,244","5,180",39.1,"6,545","1,897",29.0
2005,"36,802","9,168",24.9,"30,154","7,164",23.8,"13,481","5,303",39.3,"6,521","1,949",29.9
2004 (14),"36,426","9,014",24.7,"30,065","7,153",23.8,"13,244","5,247",39.6,"6,217","1,792",28.8
2003,"35,989","8,781",24.4,"29,727","6,870",23.1,"13,118","5,115",39.0,"6,034","1,781",29.5
2002,"35,678","8,602",24.1,"29,671","6,761",22.8,"13,030","4,980",38.2,"5,858","1,800",30.7
