Year,All people (Total),Below poverty (Number),Below poverty (Percent),All Families  (Total),Below poverty (Number),Below poverty (Percent),"People in Families (Families with Female Householder
No Husband Present)(Total) ","People in Families (Families with Female Householder
No Husband Present)(Total) (Below poverty) (Number)","People in Families (Families with Female Householder
No Husband Present)(Total) (Below poverty) (Percent)",People in Families (Unrelated Individuals) (Total),People in Families (Unrelated Individuals) (Total) (Below poverty) (Number),People in Families (Unrelated Individuals) (Total) (Below poverty) (Percent)
2016,"245,985","27,113",11.0,"199,330","18,022",9.0,"29,420","7,793",26.5,"45,643","8,661",19.0
2015,"245,536","28,566",11.6,"198,571","19,444",9.8,"29,396","8,205",27.9,"45,963","8,717",19.0
2014,"244,253","31,089",12.7,"197,607","21,072",10.7,"29,134","8,680",29.8,"45,409","9,476",20.9
2013 (19),"243,346","31,287",12.9,"198,041","21,486",10.8,"30,428","9,796",32.2,"43,924","9,132",20.8
2013 (18),"243,085","29,936",12.3,"197,001","19,944",10.1,"28,795","8,404",29.2,"44,998","9,544",21.2
2012,"242,147","30,816",12.7,"196,378","21,328",10.9,"28,707","8,691",30.3,"44,509","8,940",20.1
2011,"241,334","30,849",12.8,"196,709","21,456",10.9,"29,636","8,999",30.4,"43,295","8,809",20.3
2010 (17),"239,982","31,083",13.0,"195,441","21,543",11.0,"28,032","8,721",31.1,"43,324","8,971",20.7
2009,"242,047","29,830",12.3,"197,938","20,701",10.5,"28,163","8,283",29.4,"43,010","8,580",19.9
2008,"240,548","26,990",11.2,"197,763","18,558",9.4,"27,010","7,340",27.2,"41,810","7,982",19.1
2007,"239,133","25,120",10.5,"195,944","17,141",8.7,"27,159","7,188",26.5,"41,931","7,505",17.9
2006,"237,619","24,416",10.3,"196,061","16,644",8.5,"27,057","7,160",26.5,"40,461","7,334",18.1
2005,"235,430","24,872",10.6,"194,277","16,782",8.6,"25,943","7,021",27.1,"40,164","7,718",19.2
2004 (14),"233,741","25,327",10.8,"193,024","17,445",9.0,"26,139","6,892",26.4,"39,712","7,416",18.7
2003,"231,866","24,272",10.5,"192,074","16,740",8.7,"25,536","6,530",25.6,"38,913","7,225",18.6
2002,"230,376","23,466",10.2,"190,823","16,043",8.4,"24,903","5,992",24.1,"38,575","7,105",18.4
