0	latitude	longitude	diurnal
1	36.0225	-121.5644	50385.0
2	36.0224	-121.5641	50385.0
3	36.0224	-121.5638	50385.0
4	36.0224	-121.5636	50385.0
5	36.0224	-121.5633	50385.0
6	36.0224	-121.5627	50385.0
7	36.0224	-121.5625	50385.0
8	36.0223	-121.5622	50385.0
9	36.0223	-121.5619	50385.0
10	36.0223	-121.5616	50385.0
11	36.0223	-121.5613	50384.9
12	36.0223	-121.5608	50384.9
13	36.0222	-121.5605	50384.9
14	36.0222	-121.5602	50384.9
15	36.0222	-121.5600	50384.9
16	36.0222	-121.5597	50384.9
17	36.0222	-121.5594	50384.9
18	36.0222	-121.5588	50384.9
19	36.0221	-121.5586	50384.9
20	36.0221	-121.5583	50384.9
21	36.0221	-121.5580	50384.9
22	36.0221	-121.5577	50384.9
23	36.0221	-121.5575	50384.9
24	36.0221	-121.5569	50384.9
25	36.0220	-121.5566	50384.9
26	36.0220	-121.5563	50384.9
27	36.0220	-121.5561	50384.9
28	36.0220	-121.5558	50384.9
29	36.0220	-121.5552	50384.9
30	36.0219	-121.5550	50384.9
31	36.0219	-121.5547	50384.9
32	36.0219	-121.5544	50384.9
33	36.0219	-121.5541	50384.9
34	36.0219	-121.5538	50384.8
35	36.0219	-121.5533	50384.8
36	36.0218	-121.5530	50384.8
37	36.0218	-121.5527	50384.8
38	36.0218	-121.5525	50384.8
39	36.0218	-121.5522	50384.8
40	36.0218	-121.5519	50384.8
41	36.0218	-121.5513	50384.8
42	36.0217	-121.5511	50384.8
43	36.0217	-121.5508	50384.8
44	36.0217	-121.5505	50384.8
45	36.0217	-121.5502	50384.8
46	36.0217	-121.5497	50384.8
47	36.0216	-121.5494	50384.8
48	36.0216	-121.5491	50384.8
49	36.0216	-121.5488	50384.8
50	36.0216	-121.5486	50384.8
51	36.0216	-121.5483	50384.8
52	36.0216	-121.5477	50384.8
53	36.0215	-121.5475	50384.8
54	36.0215	-121.5472	50384.8
55	36.0215	-121.5469	50384.8
56	36.0215	-121.5466	50384.7
57	36.0215	-121.5463	50384.7
58	36.0215	-121.5458	50384.7
59	36.0214	-121.5455	50384.7
60	36.0214	-121.5452	50384.7
61	36.0214	-121.5450	50384.7
62	36.0214	-121.5447	50384.7
63	36.0214	-121.5441	50384.7
64	36.0213	-121.5438	50384.7
65	36.0213	-121.5436	50384.7
66	36.0213	-121.5433	50384.7
67	36.0213	-121.5430	50384.7
68	36.0213	-121.5427	50384.7
69	36.0213	-121.5422	50384.7
70	36.0212	-121.5419	50384.7
71	36.0212	-121.5416	50384.7
72	36.0212	-121.5413	50384.7
73	36.0212	-121.5411	50384.7
74	36.0212	-121.5408	50384.7
75	36.0212	-121.5402	50384.7
76	36.0211	-121.5400	50384.7
77	36.0211	-121.5397	50384.7
78	36.0211	-121.5394	50384.7
79	36.0211	-121.5391	50384.6
80	36.0211	-121.5388	50384.6
81	36.0210	-121.5383	50384.6
82	36.0210	-121.5380	50384.6
83	36.0210	-121.5377	50384.6
84	36.0210	-121.5375	50384.6
85	36.0210	-121.5372	50384.6
86	36.0210	-121.5366	50384.6
87	36.0209	-121.5363	50384.6
88	36.0209	-121.5361	50384.6
89	36.0209	-121.5358	50384.6
90	36.0209	-121.5355	50384.6
91	36.0209	-121.5352	50384.6
92	36.0208	-121.5347	50384.6
93	36.0208	-121.5344	50384.6
94	36.0208	-121.5341	50384.6
95	36.0208	-121.5338	50384.6
96	36.0208	-121.5336	50384.6
97	36.0208	-121.5333	50384.6
98	36.0207	-121.5327	50384.6
99	36.0207	-121.5325	50384.6
100	36.0207	-121.5322	50384.6
101	36.0207	-121.5319	50384.5
102	36.0207	-121.5316	50384.5
103	36.0207	-121.5311	50384.5
104	36.0206	-121.5308	50384.5
105	36.0206	-121.5305	50384.5
106	36.0206	-121.5302	50384.5
107	36.0206	-121.5300	50384.5
108	36.0206	-121.5297	50384.5
109	36.0205	-121.5291	50384.5
110	36.0205	-121.5288	50384.5
111	36.0205	-121.5286	50384.5
112	36.0205	-121.5283	50384.5
113	36.0205	-121.5280	50384.5
114	36.0205	-121.5277	50384.5
115	36.0204	-121.5272	50384.5
116	36.0204	-121.5269	50384.5
117	36.0204	-121.5266	50384.5
118	36.0204	-121.5263	50384.5
119	36.0204	-121.5261	50384.5
120	36.0204	-121.5255	50384.5
121	36.0203	-121.5252	50384.5
