Domain,Partition,Personal Domain - Knowledge (Cognitive),Personal Domain - Skills (Psychomotor),Personal Domain - Attitudes (Affective),Partition,Team Domain - Knowledge (Cognitive),Team Domain - Skills (Psychomotor),Team Domain - Attitudes (Affective),,Enterprise Domain - Knowledge (Cognitive),Enterprise Domain - Skills (Psychomotor),Enterprise Domain - Attitudes (Affective)
"Databases, Data Sets, and Data Formats",P1,"Learners can develop search strategies using Boolean logic, faceted search and other techniques as appropriate to their discipline to identify and access data sets relevant for a specific purpose.",Explain the sequence of steps in refining a search string.,Discuss merits and methods of altering search strategy for accessing data sets in different databases. ,T1,"Learners learn Access and SQL to create tables, queries and forms.1",Construct databases using tables and forms. ,Demonstrate relationships in database through constructed queries. ,E1,Learners understand relational databases andset specifications for relational databases related to the research being performed and communicate the implications of those specifications to relevant database designers and users. ,Compose specifications based upon understanding of relational database design and needs assessment for research project. ,Verify research team members understanding of the implications of relational database features and functionality for the research endeavor. 
"Databases, Data Sets, and Data Formats",P1,Use Boolean logic to create search strings and faceted searching to refine search strings. ,,,T1,Create relational databases using Access and SQL command line. ,,,E1,Design written specifications for relational databases used in research projects. ,,
"Databases, Data Sets, and Data Formats",P1,Learners identify standard or preferred data formats for their academic disciplinesand select appropriate data formats for a given task.,,,T2,Learners identify which data formats are appropriate for their specific research question and design their data collection/generation accordingly. ,,,E2,"Learners recommend data formats to researchers they supervise as best practices for the research group that they are in, taking into consideration disciplinary norms and practices. ",,
"Databases, Data Sets, and Data Formats",P2,Identify standard or preferred data formats within a discipline.,Save files in a consistent  format using conventions that enable findability and usability by others. ,Critically evaluate formats given criteria of a specific task.,T2,Discuss advantages and disadvantages of different formats depending upon different data management situation. ,Generate data in a pre-selected format.,Justify the data format selection by the research design. ,E2,Select appropriate formats for the local research group and educate research lab personnel to use those formats.,Compose criteria for research group members regarding data format selection. ,Verify adherence of research group members to proscribed data formats. 
"Databases, Data Sets, and Data Formats",P3,"Learners identify proprietary data formats relevant to their academic disciplines, articulate potential problems with the use of proprietary data formats, and select alternative formats when appropriate.   ",Save files in different formats as needed.,Appreciate that all data formats have different strengths and weaknesses and discuss implications of those strengths and weaknesses for personal projects. ,T3,Learners contrast proprietary and non proprietary formats for specific criteria and select the most accessible format that meets the criteria for their research data generation.  ,,,E3,"Learners critique software packages based upon the formats the software outputs for criteria based upon factors influencing accessibility, sharing and preservation.  ",Justify decisions on software choice while considering impact on future data management implications. ,Revise format choices as technological and disciplinary criteria alter over time. 
"Databases, Data Sets, and Data Formats",P3,Identify proprietary data formats. ,,,T3,Contrast proprietary and non-proprietary formats on given criteria.,Adapt format selection to a research project given objective criteria such as performance or cost.,Compare formats given subjective criteria including usability and credibility.,E3,"Explain the impact of the available output formats on accessibility within the discipline, deposit to repositories or forward migration. ",,
"Databases, Data Sets, and Data Formats",P4,"Learners comprehend that data sets are collected into groups by topic or by commonality such as place of origin, that the technology housing these groups are called repositories, and that they can be used to access data sets relevant to a research topic. ",Access data repositories based upon understanding of contents of prevalent topics or commonalities of data held in repository. ,Justify selection of repository based upon research topic.,T4,Learners use tools use as RE3DATA.org and disciplinary finding aids to identify and become familiar with the most frequently used repositories in their subject specialization.,Explain relevance of identified repositories to work being done in research group or on specific project. ,Relate specific data sets found to existing research questions or emerging research projects. ,E4,Learners recommend specific data repositories as likely locations of relevant data for a specific research question. ,"Change recommendations based upon specific needs of research projects, taking into considerations the specifications and constraints of the required data. ","Question the appropriateness of a repository and its offerings to a specific research question, with objective criteria guiding the critique. "
"Databases, Data Sets, and Data Formats",P4,Explain that data sets are gathered by topic or other commonality into repositories.,,,T4,Use re3data.org to identify most prevalent repositories for a specific discipline.,,,E4,"Recommend specific repositories based upon subject knowledge, research experience, and prior data use. ",,
Discovery and Acquisition of Data,P5,"Learners consider authority of data set, quality of data set as indicated by existing metadata and documentation, and other critical factors as determined by research question and goals when selecting data for reuse. ",Choose a database critically rather than accepting the first available database on a given topic. ,Justify selection of database based upon research topic. ,T5,"Learners critically examine downloaded data sets to consider the quality of metadata, potential problems with missing or inaccurate data, and problems of data incompletion and adjust research plans accordingly. ",Design and/or organize new data set in usable structure given a specific research plan and the contents of the pre-existing data set. ,Explain the potential problems that could arise for new research because of data management decisions that were enacted in the pre-existing research data set. ,E5,Learners design protocols that requires research group members to critique downloaded data sets by specific criteria important to the research goals of the group and teach the critique protocol to team members. ,Alter recommendations as new information comes to light and new knowledge is accumulated or as research trajectories change within the research group. ,Verify the accuracy of the external data critique protocol on an ongoing basis.
Discovery and Acquisition of Data,P5,Use checklists or other tools to guide critiques of data sets.2,,,T5,"Employ statistical, scientific, and/or other relevant literacies to evaluate contents of data set and accompanying documentation.",,,E5,Recommend and record specific known factors that could positively or negatively impact the usefulness of a specific data set for the research group. ,,
