Date,"Total membership","Full Members",Guests,"Daily active members","Daily members posting messages","Weekly active members","Weekly members posting messages","Messages in public channels","Messages in private channels","Messages in shared channels","Messages in DMs","Percent of messages, public channels","Percent of messages, private channels","Percent of messages, DMs","Percent of views, public channels","Percent of views, private channels","Percent of views, DMs",Name,"Public channels, single-workspace","Messages posted"
2019-06-20,5,5,0,5,2,5,2,2,0,0,0,1,0,0,0.9211,0,0.0789,0,4,5
2019-06-21,9,9,0,6,2,6,3,6,0,0,0,1,0,0,0.9811,0,0.0189,0,5,12
2019-06-22,10,10,0,4,1,7,3,1,0,0,0,1,0,0,1,0,0,0,5,14
2019-06-23,9,9,0,3,0,8,3,0,0,0,0,0,0,0,1,0,0,0,5,14
2019-06-24,9,9,0,3,0,8,3,0,0,0,0,0,0,0,1,0,0,0,5,15
2019-06-25,9,9,0,6,5,10,7,11,0,0,0,1,0,0,1,0,0,0,5,26
2019-06-26,10,10,0,7,3,11,8,3,0,0,0,1,0,0,0.9808,0,0.0192,0,6,29
2019-06-27,10,10,0,6,3,11,8,10,0,0,0,1,0,0,0.9565,0,0.0435,0,6,41
2019-06-28,10,10,0,6,4,10,7,24,0,0,0,1,0,0,1,0,0,0,6,65
2019-06-29,11,11,0,5,1,9,7,2,0,0,0,1,0,0,0.9412,0,0.0588,0,6,68
2019-06-30,11,11,0,7,3,9,9,4,0,0,0,1,0,0,0.9833,0,0.0167,0,6,72
2019-07-01,11,11,0,4,2,9,9,0,0,0,4,0,0,1,0.5385,0,0.4615,0,6,76
2019-07-02,11,11,0,7,2,10,7,3,0,0,0,1,0,0,1,0,0,0,6,79
2019-07-03,11,11,0,4,0,10,7,0,0,0,0,0,0,0,1,0,0,0,6,79
2019-07-04,11,11,0,1,0,11,7,0,0,0,0,0,0,0,1,0,0,0,6,79
2019-07-05,11,11,0,2,0,11,6,0,0,0,0,0,0,0,1,0,0,0,6,79
2019-07-06,11,11,0,2,0,10,5,0,0,0,0,0,0,0,1,0,0,0,6,79
2019-07-07,11,11,0,3,1,10,4,1,0,0,0,1,0,0,1,0,0,0,6,80
2019-07-08,11,11,0,7,2,10,3,2,0,0,0,1,0,0,0.9524,0,0.0476,0,6,82
2019-07-09,11,11,0,7,2,10,3,2,0,0,0,1,0,0,1,0,0,0,6,84
2019-07-10,11,11,0,5,0,9,3,0,0,0,0,0,0,0,1,0,0,0,6,84
2019-07-11,11,11,0,6,2,9,3,0,0,0,3,0,0,1,0.75,0,0.25,0,6,87
2019-07-12,11,11,0,4,0,9,3,0,0,0,0,0,0,0,1,0,0,0,6,87
2019-07-13,11,11,0,4,0,9,3,0,0,0,0,0,0,0,1,0,0,0,6,87
2019-07-14,11,11,0,3,0,9,3,0,0,0,0,0,0,0,1,0,0,0,6,87
2019-07-15,11,11,0,7,3,9,4,3,0,0,0,1,0,0,1,0,0,0,6,90
2019-07-16,11,11,0,4,2,8,3,3,0,0,0,1,0,0,1,0,0,0,6,93
2019-07-17,11,11,0,5,2,8,3,15,0,0,0,1,0,0,1,0,0,0,6,108
2019-07-18,11,11,0,5,3,7,4,4,0,0,6,0.4,0,0.6,0.6667,0,0.3333,0,6,118
2019-07-19,11,11,0,5,1,7,5,1,0,0,0,1,0,0,0.9524,0,0.0476,0,6,119
2019-07-20,11,11,0,4,0,8,5,0,0,0,0,0,0,0,1,0,0,0,6,119
2019-07-21,11,11,0,3,0,8,5,0,0,0,0,0,0,0,1,0,0,0,6,119
2019-07-22,11,11,0,3,2,6,4,0,0,0,2,0,0,1,0.7368,0,0.2632,0,6,121
2019-07-23,11,11,0,2,1,6,4,1,0,0,0,1,0,0,1,0,0,0,6,122
2019-07-24,11,11,0,1,0,6,4,0,0,0,0,0,0,0,1,0,0,0,6,122
2019-07-25,11,11,0,6,4,7,5,7,0,0,0,1,0,0,1,0,0,0,6,130
2019-07-26,11,11,0,6,2,8,6,2,0,0,0,1,0,0,1,0,0,0,6,132
2019-07-27,11,11,0,5,3,9,7,7,0,0,0,1,0,0,1,0,0,0,6,139
2019-07-28,11,11,0,5,0,9,7,0,0,0,0,0,0,0,1,0,0,0,6,139
2019-07-29,11,11,0,6,3,9,8,3,0,0,1,0.75,0,0.25,0.9512,0,0.0488,0,6,143
2019-07-30,11,11,0,4,2,10,9,1,0,0,1,0.5,0,0.5,0.875,0,0.125,0,6,145
2019-07-31,11,11,0,4,0,10,9,0,0,0,0,0,0,0,1,0,0,0,6,145
2019-08-01,11,11,0,2,0,10,7,0,0,0,0,0,0,0,1,0,0,0,6,145
2019-08-02,11,11,0,1,0,10,5,0,0,0,0,0,0,0,0.9167,0,0.0833,0,6,145
2019-08-03,11,11,0,3,1,10,4,0,0,0,1,0,0,1,0.8,0,0.2,0,6,146
2019-08-04,11,11,0,1,0,8,4,0,0,0,0,0,0,0,0.6667,0,0.3333,0,6,146
2019-08-05,11,11,0,7,4,9,6,11,0,0,1,0.9167,0,0.0833,0.9388,0,0.0612,0,6,158
2019-08-06,11,11,0,7,3,9,7,2,0,0,2,0.5,0,0.5,0.875,0,0.125,0,6,162
