Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,,,,,,,,,,,8920213,338615,118950,338168,266637,388761,69664,59102,141337,866862,560538,1073498,3325655,1627152,1663353,
Andorra,AND,,,,,,3914459,5577625,8330815,6432320,3511781,4113229,10193596,9822198,16410433,27459185,25375265,16789361,31340088,15234546,8789758,17876901,17190617,18556300,20172634,16200929,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,,,,,,,247748,302707,1070147,5144499,1489031,1858694,1950417,3614505,4872125,3607944,3968947,9945986,6296633,5832068,8585833,6202700,4819147,6256686,917486,15123662
Arab World,ARB,,,,,,,,,,,861955361,827430225,942063102,1162803371,1227386650,1313886262,1722503887,1763771723,2038003511,1483223005,2320456620,2302185799,2601812191,2773493009,,
United Arab Emirates,ARE,,15771,136590,51757,,,,,,6367751,5003130,17105411,7267038,8237510,10354212,43157534,26369910,39672400,204925025,23373326,50474248,66644653,486535642,457478966,1555995856,
Argentina,ARG,,,255887224,271336431,247037164,285394512,400463473,460222625,544457420,599028286,797074012,800150443,600022456,710281801,761458020,840303735,1043916907,1139881387,1948517138,1546820304,1648289776,1978069865,1945836328,2433526528,1427075645,
Armenia,ARM,,,,,,,,6386519,,3142316,3966685,6167674,3442977,4703718,4226900,3457721,5101971,3992200,6476229,3937441,3759946,5737622,7045295,8886596,8317916,11067794
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,20012,1813,,,,,22896,,1208,,0,0,0,0,0,0,0
Australia,AUS,675284627,885009286,978796278,1160642748,1700360879,1811951850,1917702397,1937328232,1568134784,1617003942,2758523559,2676687071,2957074170,2744814896,3100450495,3284430694,3371725564,3302057949,3793610041,3249473216,3916557449,4859392142,4760970576,4565211317,4691411621,4237456601
Austria,AUT,2891238329,3132868371,3320381762,3133580514,4008244239,4469661909,4498407835,5428243580,5889045124,6360053017,7359867511,7692868384,9507515015,11393207594,14708635263,13019354902,14330800978,14554088272,15326989392,12254877472,13721385414,15705949135,16175823634,18412394058,19269819029,
Azerbaijan,AZE,,,,,,,2823315,4932667,10870354,7831002,6170398,9074523,10144360,8654984,8262913,6099097,9073107,15493641,6470757,4422662,5712075,8042867,41513310,71872403,32605511,
Burundi,BDI,,,,2177,29968,7769,,,2358,392,57,7034,98465,251014,119141,154570,20353,698983,1099093,1996065,529867,39,446314,48346,345775,
Belgium,BEL,,,,,,,,,,13477829593,15704395243,16346161208,15375807398,18197887754,20958529240,23385203121,23738808555,25185339614,28302042123,29552842926,31948749412,34680646884,36503921134,41673751056,43698592018,
Benin,BEN,,,,,,,,,15305,148538,14093,14813,297865,21078,14905,24452,50971,228291,490789,829993,135491,202121,810987,549020,3909428,
Burkina Faso,BFA,,,,,,172258,445361,2487441,1145352,1502311,1056535,2064834,653222,1282039,2397221,5708913,,1869252,231380,258159,2864513,2552612,,13894791,13333668,
Bangladesh,BGD,5837385,3408766,3035062,345012,1335012,928701,1939473,265612,3488515,,10591240,9126275,6571088,14958984,15967424,27624176,23480859,133700302,58908946,37952009,31530160,39378724,,,,
Bulgaria,BGR,,,,,,,113391231,113063685,79629580,67230302,78619198,89940248,146746565,220010271,251557237,331842164,492315052,614618711,754677723,709153582,802458914,1015453449,982455482,1127909384,1079617724,1107680340
Bahrain,BHR,,,,,5760544,16248895,24337685,,,,217021,61808,51347,706072,445176,407033,329821,487802,37433131,295469,964226,1619723,6695609,18873835,46729049,
"Bahamas, The",BHS,,,,,,,,0,8059253,1340953,7208849,586422,2312792,0,0,666,727334,300,0,76,3454,0,0,0,0,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,10132143,17005162,28055487,46146287,56222543,133149252,78689990,70648090,102729055,77945331,80264967,91727882,96042566
Belarus,BLR,,,,,,,,,206808991,156755982,182809700,206087500,217841300,231850900,227388400,224373500,277732200,358219800,418870600,319054500,406565000,510644600,620056400,766682600,660475200,559911400
Belize,BLZ,,,0,0,250,0,0,0,509,918827,4,166,90,12169,62,2400,685987,9617,4424,13109,,268516,,0,0,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,488596,2627023,2491211,1013119
Bolivia,BOL,,,6453859,5369799,10911312,27424049,66483465,14850276,168718061,295989143,157943329,37717524,14914562,20959955,27811000,27275120,96497620,15413394,17442409,14815916,37069777,48204595,52913604,44104415,33144149,72885155
Brazil,BRA,1053130596,902232511,1007316541,900231944,1097107002,1207552572,1575297205,2121994924,2609822218,3394695876,5990406897,6056632979,5223572467,4514943803,5953916611,8031342096,8418095630,9076353529,10285555636,7896042718,8121872800,8414889217,8820260626,8391851904,8228775226,8848309553
Barbados,BRB,,,14821782,16181483,16428115,18256354,16632886,20106861,23309677,27170045,22340068,19077539,12765733,13343863,12900277,21716027,25169271,12923375,5505582,11355774,18332852,21207630,19711310,21254959,24928712,26483703
Brunei Darussalam,BRN,,,,,39322,,,11992243,22384796,,,53,321,977,25239183,,16386077,,,,,,65481453,53165101,55449872,
Bhutan,BTN,,,,,,,,,233786,,,,,,,5332666,10506554,1941205,9426,439945,394616,272,58575,,,
Botswana,BWA,,,,,,,,,,,12621851,5823501,12780910,14759407,12524242,16535910,15049990,15946359,20963734,24375930,14725119,44536509,61114300,24724995,16518448,
Central African Republic,CAF,,,,312121,82962,242868,161960,131626,186866,105276,44715,473089,15491,26884,41334,19255,133540,213932,7456,897373,477838,1394,134458,1325,,
Canada,CAN,10122181560,11804295892,11782688909,12304804428,14171258026,17738028951,19770469707,20981304803,21837723842,23792681720,29780009925,26883195443,22536924400,22651716240,21526068655,25351657258,26734980308,26310508820,26911377699,23210217037,23963441244,25017006457,29087234635,29197009108,31552262953,26268767511
Central Europe and the Baltics,CEB,,,,,1697069147,3017265260,3637543337,6122015121,8177116420,9086665832,11990369204,12819672904,16534326106,20551771568,28950415118,31316820407,37728115960,44309329967,54583799693,47739472208,57632243707,69024211983,62158661419,65585865443,69246158832,62611725479
