authors,title,published,year
J. Hardin R. Hoerl N. J. Horton D. Nolan B. Baumer O. Hall-Holt P. Murrell R. Peng P. Roback D. Temple Lang M. D. Ward. ,"Data Science in Statistics Curricula: Preparing Students to ""Think with Data"",", The American Statistician,2015
Mark Daniel Ward. ,"Learning communities and the undergraduate statistics curriculum (a response to ""Mere renovation is too little too late"" by George Cobb),", The American Statistician,2015
Mark Daniel Ward. ,"Building Bridges: The Role of an Undergraduate Mentor,"," American Statistician,  v.71,  p. 30-33.",2017
Weston Phillips Peter Boyd. ,"Predicting Surface Temperatures of Roads: Utilizing a Decaying Average in Forecasting,"," Journal of Purdue Undergraduate Research,  v.6,  p. 9-15.",2016
Eden Holmes Abigael Johnson. ,"Out of the Box: Honors College in Action,"," Journal of Purdue Undergraduate Research,  v.4,  p. 96-97.",2014
K. Das M. Jackson S. Keller D. LaLonde S. Shipp J. Utts M. D. Ward. ,"ASA Receives Grant to Establish Series of REUs,", Amstat News,2016
Mark Daniel Ward. ,"Peer-to-Peer Mentoring: How It Fits into the Statistics Living Learning Community at Purdue,", Amstat News,2016
Donna LaLonde Mark Daniel Ward. ,"Active Learning Focus of CBMS Joint Statement,", Amstat News,2017
Karan Samel Xiao Wang Qiang Liu. ,"Predicting Advertisement Clicks using Deep Networks,"," Journal of Purdue Undergraduate Research,  v.7,  p. 50-56.",2017
Abigael Johnson Dana Tomeh. ,"The Bystander Effect: Societal and Academic Implications of a Neglected Sexuality,"," Journal of Purdue Undergraduate Research,  v.7,  p. 73-74.",2017
Bo Fu Anup Mohan Yifan Li Sanghyun Cho Kent Gauen Yung-Hsiang Lu. ,"Parallel Video Processing using Embedded Computer,"," IEEE Global Conference on Signal and Information Processing 2017,  2017.,  2017.",2017
Kent Gauen Ryan Dailey John Laiman Yuxiang Zi Nirmal Asokan Yung-Hsiang Lu George K. Thiruvathukal Mei-Ling Shyu Shu-Ching Chen. ,"Comparison of Visual Datasets for Machine Learning,"," Proceedings of IEEE Conference on Information Reuse and Integration 2017,  2017.,  2017.",2017
